Date,Open,High,Low,Close,Volume
09/08/2023,"30.02","30.27","29.90","30.02","24,733"
09/07/2023,"30.13","30.13","29.67","30.02","67,841"
09/06/2023,"29.90","30.22","29.90","30.15","39,695"
09/05/2023,"30.70","30.70","29.85","29.90","46,626"
09/01/2023,"30.98","31.47","30.74","30.88","31,950"
08/31/2023,"31.38","31.57","30.77","30.82","53,406"
08/30/2023,"31.42","31.88","31.28","31.32","37,653"
08/29/2023,"30.75","31.74","30.56","31.57","69,435"
08/28/2023,"30.77","31.17","30.68","30.99","57,658"
08/25/2023,"30.71","30.71","30.15","30.40","57,730"
08/24/2023,"30.70","30.89","30.47","30.65","34,304"
08/23/2023,"30.55","31.17","30.48","30.92","35,571"
08/22/2023,"30.56","31.09","30.42","30.64","42,974"
08/21/2023,"30.48","30.84","30.30","30.34","61,077"
08/18/2023,"30.35","30.97","30.35","30.43","71,509"
08/17/2023,"29.95","30.65","29.95","30.50","50,801"
08/16/2023,"30.55","30.75","29.67","29.88","75,006"
08/15/2023,"30.25","30.57","29.95","30.53","32,191"
08/14/2023,"30.26","30.38","30.00","30.34","27,916"
08/11/2023,"31.08","31.32","30.34","30.37","53,129"
08/10/2023,"31.73","31.80","30.72","30.96","42,649"
08/09/2023,"31.12","31.77","31.05","31.55","48,867"
08/08/2023,"31.00","31.17","30.73","31.10","66,901"
08/07/2023,"31.17","31.41","31.00","31.06","45,825"
08/04/2023,"30.71","31.71","30.68","31.12","45,431"
08/03/2023,"31.93","31.93","30.41","31.36","126,746"
08/02/2023,"31.88","32.14","31.77","31.90","77,428"
08/01/2023,"32.29","32.48","32.00","32.30","41,997"
07/31/2023,"32.68","32.81","32.25","32.37","48,667"
07/28/2023,"32.69","32.98","32.40","32.40","64,414"
07/27/2023,"33.53","33.53","32.26","32.51","175,807"
07/26/2023,"33.56","34.11","33.37","33.42","27,369"
07/25/2023,"33.08","33.78","33.08","33.62","48,705"
07/24/2023,"33.45","33.70","33.06","33.28","47,393"
07/21/2023,"34.08","34.24","33.47","33.57","80,646"
07/20/2023,"33.49","34.03","33.28","33.96","158,761"
07/19/2023,"33.67","33.67","33.00","33.38","116,296"
07/18/2023,"33.86","34.19","33.36","33.47","67,545"
07/17/2023,"34.05","34.34","33.58","33.73","65,868"
07/14/2023,"33.77","34.22","33.58","34.02","80,268"
07/13/2023,"33.70","34.01","33.55","33.96","110,274"
07/12/2023,"34.45","34.73","33.50","33.57","74,459"
07/11/2023,"34.01","34.23","33.86","34.19","96,342"
07/10/2023,"33.67","34.16","33.41","33.92","110,579"
07/07/2023,"33.15","34.13","33.15","33.66","191,102"
07/06/2023,"32.00","33.09","31.88","33.05","76,296"
07/05/2023,"33.15","33.34","32.38","32.48","124,677"
07/03/2023,"32.15","33.19","32.15","33.15","77,928"
06/30/2023,"33.48","33.62","31.66","32.47","226,097"
06/29/2023,"33.25","35.59","33.25","33.76","582,792"
06/28/2023,"27.35","28.14","27.20","28.04","99,203"
06/27/2023,"27.45","27.66","27.06","27.33","81,483"
06/26/2023,"26.96","27.89","26.96","27.40","89,139"
06/23/2023,"27.12","27.51","26.76","27.13","192,410"
06/22/2023,"27.29","27.44","26.94","27.44","44,500"
06/21/2023,"27.40","27.55","27.14","27.48","37,194"
